t	Training data	Original data	Classical VP	Regularized VP
0	7.911192235	8	8.165897943	8.163556696
0.01	7.829228945	7.886799582	8.052638428	8.050317903
0.02	7.650318877	7.709271878	7.878152204	7.875847185
0.03	8.025862512	7.471548935	7.646373293	7.644078892
0.04	7.600836555	7.179025778	7.36243782	7.360149582
0.05	6.745787587	6.838215122	7.032545725	7.030259715
0.06	6.719048513	6.456579995	6.663801448	6.661514331
0.07	6.479623907	6.042348448	6.264037574	6.261746676
0.08	5.663598716	5.604314845	5.841625689	5.839329043
0.09	5.703681426	5.151632432	5.405278953	5.402975328
0.1	4.743258883	4.693602	4.963850939	4.961539853
0.11	4.474879299	4.239461429	4.526135319	4.523817033
0.12	4.046000182	3.798180801	4.100670854	4.098346351
0.13	3.28496629	3.378267552	3.695555927	3.693226875
0.14	3.648849261	2.9875858	3.318276585	3.315945282
0.15	2.646821424	2.633193625	2.975551652	2.973220966
0.16	2.393870217	2.321201565	2.673198046	2.670871335
0.17	1.588094501	2.056655067	2.416018899	2.413699923
0.18	2.43831828	1.843443059	2.207716524	2.205409357
0.19	2.165085946	1.684234146	2.050831697	2.048540624
0.2	3.000983304	1.58044133	1.946710069	1.944439485
0.21	1.31403322	1.532215462	1.895495936	1.893250245
0.22	2.003021807	1.538467006	1.896152957	1.89393647
0.23	1.709404539	1.596915077	1.946510826	1.944327666
0.24	1.642280026	1.704162103	2.043336338	2.041190351
0.25	1.606728018	1.855791954	2.182426791	2.180321458
0.26	1.830259075	2.046488863	2.358723176	2.356661548
0.27	2.118852962	2.270174088	2.566440256	2.564424885
0.28	2.224231787	2.520156901	2.799210276	2.797243171
0.29	2.5699117	2.789296251	3.050236843	3.048319431
0.3	3.116078659	3.070169283	3.312455319	3.310588423
0.31	3.65270662	3.355242806	3.578696035	3.576879864
0.32	3.579096189	3.637043832	3.841846604	3.840080759
0.33	3.001469306	3.908325385	4.095009749	4.093293241
0.34	3.860969513	4.162223983	4.33165319	4.329984472
0.35	4.032457027	4.392405423	4.545748414	4.544125424
0.36	4.712317956	4.593195869	4.731895438	4.730315649
0.37	4.818029204	4.759695583	4.885431064	4.883891553
0.38	4.667475021	4.887873116	5.002518532	5.001016045
0.39	5.322565892	4.97463824	5.08021694	5.078747971
0.4	4.785458746	5.017892412	5.116529272	5.115090143
0.41	5.267161409	5.016556088	5.1104284	5.109015343
0.42	4.4052976	4.970572734	5.061860901	5.060470142
0.43	4.196018152	4.880889913	4.971729052	4.970356891
0.44	4.684244096	4.749418309	4.841851836	4.840494725
0.45	4.738394137	4.578970062	4.674906241	4.67356086
0.46	4.857150843	4.373178181	4.47435056	4.47301388
0.47	4.129321555	4.136399216	4.244331752	4.243001096
0.48	3.923993532	3.873601704	3.989579264	3.988252355
0.49	3.25455004	3.590243144	3.715287931	3.713962933
0.5	3.417818396	3.292138495	3.426992814	3.425668359
0.51	3.380987483	2.985323281	3.130438898	3.129114108
0.52	2.955827386	2.67591449	2.831448697	2.830123186
0.53	2.151995699	2.369972395	2.53579073	2.534464603
0.54	2.957872366	2.073366386	2.249051819	2.247725653
0.55	1.678571231	1.791647709	1.976515961	1.975190783
0.56	0.974664771	1.529931836	1.723052363	1.721729614
0.57	0.706205191	1.292792892	1.493014959	1.491696448
0.58	1.012654696	1.084172255	1.290155414	1.288843268
0.59	0.758573528	0.907303106	1.117551307	1.116247915
0.6	0.593306797	0.764652277	0.977550783	0.976258731
0.61	0.583714997	0.657880368	0.871734593	0.870456603
0.62	0.192859017	0.587820659	0.800896019	0.799634879
0.63	-0.009310334	0.554476913	0.765038785	0.763797281
0.64	1.016297871	0.557039743	0.763392638	0.762173491
0.65	1.246229581	0.59392082	0.794445902	0.793251704
0.66	1.156069522	0.662803794	0.85599395	0.854827104
0.67	1.284088672	0.760710462	0.945202185	0.944064853
0.68	0.25074287	0.884080411	1.058681842	1.057575895
0.69	0.742017725	1.028862084	1.192576666	1.191503649
0.7	0.753594761	1.190613	1.342658309	1.341619406
0.71	0.81482674	1.364606736	1.504428151	1.503424162
0.72	1.344501576	1.545944112	1.673223134	1.672254462
0.73	2.407407717	1.729666048	1.844323171	1.843389818
0.74	1.634780644	1.910865504	2.013057709	2.012159277
0.75	2.37166296	2.08479606	2.174909059	2.174044768
0.76	2.716652327	2.246974739	2.325610279	2.324778985
0.77	2.074006125	2.393276919	2.461235507	2.460435731
0.78	3.30495478	2.52002136	2.578280891	2.577510855
0.79	2.008596004	2.62404364	2.673734487	2.67299216
0.8	2.007101417	2.702756595	2.74513379	2.744416928
0.81	2.373171851	2.754196671	2.790609849	2.78991605
0.82	2.924807439	2.777055424	2.808917252	2.808244009
0.83	2.492291951	2.77069577	2.79944959	2.798794343
0.84	2.772197747	2.735152914	2.762240345	2.761600538
0.85	2.612716226	2.671120244	2.697949463	2.697322597
0.86	2.747392328	2.579920812	2.607836206	2.607219888
0.87	2.83267128	2.463465302	2.49371915	2.493111142
0.88	2.423600396	2.324197717	2.357924486	2.35732275
0.89	2.332960738	2.165030226	2.203224008	2.20262674
0.9	1.931734086	1.989268841	2.032764369	2.032170034
0.91	1.919347742	1.800531772	1.849989373	1.84939673
0.92	1.57642297	1.602662423	1.658557163	1.657965282
0.93	1.143359075	1.399639085	1.462254261	1.461662536
0.94	0.65487056	1.195483396	1.264908445	1.264316594
0.95	1.526508369	0.994169651	1.070302426	1.069710491
0.96	1.184079274	0.799536961	0.882090236	0.881498571
0.97	0.476799053	0.615206171	0.703718157	0.703127408
0.98	0.638157541	0.444503293	0.538351838	0.537762921
0.99	0.428131681	0.290391046	0.388811132	0.388225206
1	0.014934322	0.155409857	0.257513946	0.256932375
1.01	0.445600331	0.041629463	0.146430171	0.145854486
1.02	-0.502954377	-0.049388015	0.057046535	0.056478396
1.03	-0.029041864	-0.116612935	-0.009657058	-0.010215908
1.04	0.2477326	-0.159560609	-0.053219409	-0.053767186
1.05	-0.216304303	-0.178291366	-0.073698076	-0.074233001
